,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,TD,Lng,Y/A,Y/G,Fmb,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG,Rec,ReceivingYds
49,TonyPollard,DAL,23,rb,16,2,101,435,23.0,186,1.8,249,2.5,8,12.6,4.0,42.0,4.3,27.2,0.0,DAL,10.0,8.0,6.0,23,15,32,19,17,23,bye,21,21.0,31,19.0,52.0,33.0,34.0,364.0,22.8,28.0,193.0
50,BrianHill,ATL,25,rb,16,1,100,465,18.0,208,2.1,257,2.6,6,16.7,1.0,62.0,4.7,29.1,2.0,ATL,21.0,15.0,24.0,16,20,21,17,25,19,bye,26,39.0,11,9.0,15.0,19.0,31.0,328.0,20.5,25.0,199.0
51,ChaseEdmonds,ARI,24,rb,16,2,97,448,22.0,261,2.7,187,1.9,10,9.7,1.0,32.0,4.6,28.0,2.0,ARI,28.0,27.0,21.0,21,34,23,50,bye,66,36,36,32.0,37,40.0,36.0,16.0,21.0,524.0,32.8,53.0,402.0
52,LeonardFournette,TAM,25,rb,13,3,97,367,21.0,169,1.7,198,2.0,0,,6.0,46.0,3.8,28.2,0.0,TB,9.0,26.0,25.0,0,1,0,40,51,33,29,36,33.0,bye,0.0,45.0,25.0,30.0,383.0,29.5,36.0,233.0
53,AlexanderMattison,MIN,22,rb,13,2,96,434,24.0,204,2.1,230,2.4,10,9.6,2.0,25.0,4.5,33.4,0.0,MIN,19.0,10.0,16.0,15,43,27,bye,5,16,5,5,12.0,0,0.0,6.0,0.0,50.0,229.0,17.6,13.0,125.0
54,PeytonBarber,WAS,26,rb,16,2,94,258,26.0,144,1.5,114,1.2,4,23.5,4.0,15.0,2.7,16.1,0.0,WAS,29.0,1.0,5.0,5,2,8,23,bye,1,10,14,17.0,24,30.0,13.0,4.0,6.0,192.0,12.0,4.0,12.0
55,DevontaeBooker,LVR,28,rb,16,1,93,423,21.0,236,2.5,187,2.0,5,18.6,3.0,43.0,4.5,26.4,1.0,LV,8.0,11.0,4.0,6,15,bye,15,10,13,26,15,22.0,33,19.0,9.0,15.0,17.0,238.0,14.9,17.0,84.0
56,KalenBallage,2TM,25,,11,2,91,303,25.0,157,1.7,146,1.6,4,22.8,3.0,17.0,3.3,27.5,1.0,Multi,0.0,8.0,19.0,29,0,0,0,0,31,46,55,0.0,27,23.0,21.0,16.0,25.0,300.0,27.3,29.0,166.0
57,DeshaunWatson,HOU,25,QB,16,16,90,444,31.0,331,3.7,113,1.3,7,12.9,3.0,16.0,4.9,27.8,8.0,HOU,59.0,59.0,47.0,65,58,71,68,bye,65,57,61,56.0,64,65.0,69.0,52.0,63.0,979.0,61.2,,
58,NyheimHines,IND,24,rb,16,2,89,380,24.0,224,2.5,156,1.8,8,11.1,3.0,31.0,4.3,23.8,0.0,IND,42.0,9.0,20.0,25,21,21,bye,16,23,39,29,48.0,23,22.0,16.0,29.0,12.0,395.0,24.7,63.0,482.0
