,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
248,JohnLovett,GNB,24,,8,0,3,6,,3,1.0,3,1.0,0,
249,ScottMiller,TAM,23,wr,16,5,3,14,0.0,11,3.7,3,1.0,0,
250,RyanNall,CHI,25,,16,0,3,0,0.0,0,0.0,0,0.0,0,
251,MalcolmPerry,MIA,23,rb,9,2,3,5,1.0,-1,-0.3,6,2.0,0,
252,MichaelPittman,IND,23,wr,13,8,3,26,1.0,18,6.0,8,2.7,0,
253,MattSchaub,ATL,39,,1,0,3,-4,,-4,-1.3,0,0.0,0,
254,AnthonySherman,KAN,32,rb,13,1,3,8,2.0,4,1.3,4,1.3,0,
255,DiontaeSpencer,DEN,28,,11,0,3,19,1.0,14,4.7,5,1.7,0,
256,AdamThielen,MIN,30,WR,15,15,3,15,0.0,7,2.3,8,2.7,1,3.0
257,LoganThomas,WAS,29,TE,16,15,3,5,2.0,0,0.0,5,1.7,0,
258,CedrickWilson,DAL,25,,16,0,3,-12,0.0,-12,-4.0,0,0.0,0,
259,IsaiahWright,WAS,23,wr,14,6,3,16,0.0,12,4.0,4,1.3,0,
260,AntonioBrown,TAM,32,wr,8,4,2,-2,0.0,-2,-1.0,0,0.0,0,
261,TreyBurton,IND,29,te,13,4,2,3,2.0,1,0.5,2,1.0,0,
262,DamiereByrd,NWE,27,WR,16,14,2,15,1.0,14,7.0,1,0.5,0,
263,ParrisCampbell,IND,23,wr,2,2,2,16,2.0,14,7.0,2,1.0,0,
264,JeremyChinn,CAR,22,RLB,15,15,2,29,1.0,29,14.5,0,0.0,0,
265,ChaseDaniel,DET,34,,4,0,2,16,1.0,16,8.0,0,0.0,0,
266,JoshuaDobbs,PIT,25,,1,0,2,20,1.0,20,10.0,0,0.0,0,
267,AshtonDulin,IND,23,,13,0,2,11,0.0,8,4.0,3,1.5,0,
268,JulianEdelman,NWE,34,wr,6,1,2,22,1.0,22,11.0,0,0.0,0,
269,ClaytonFejedelem,MIA,27,,13,0,2,23,2.0,23,11.5,0,0.0,0,
270,DJFoster,ARI,27,,10,0,2,2,0.0,0,0.0,2,1.0,0,
271,RussellGage,ATL,24,wr,16,8,2,9,1.0,6,3.0,3,1.5,0,
272,JalenGuyton,LAC,23,wr,16,9,2,0,0.0,-1,-0.5,1,0.5,0,
273,NKealHarry,NWE,23,wr,14,9,2,0,0.0,-1,-0.5,1,0.5,0,
274,MylesHartsfield,CAR,23,,16,0,2,2,,0,0.0,2,1.0,0,
275,KendallHinton,DEN,23,,1,0,2,7,0.0,4,2.0,3,1.5,0,
276,AndyJanovich,CLE,27,fb,14,3,2,4,1.0,3,1.5,1,0.5,0,
277,ChristianKirk,ARI,24,wr,14,10,2,3,1.0,2,1.0,1,0.5,0,
278,GeorgeKittle,SFO,27,te,8,8,2,17,1.0,4,2.0,13,6.5,0,
279,AllenLazard,GNB,25,wr,10,9,2,17,1.0,13,6.5,4,2.0,0,
280,TommyleeLewis,NOR,28,,5,0,2,14,1.0,8,4.0,6,3.0,1,2.0
281,TerryMcLaurin,WAS,25,WR,15,15,2,30,2.0,12,6.0,18,9.0,0,
282,JakobiMeyers,NWE,24,wr,14,9,2,9,0.0,2,1.0,7,3.5,1,2.0
283,AnthonyMiller,CHI,26,wr,16,6,2,12,1.0,12,6.0,0,0.0,0,
284,DJMoore,CAR,23,WR,15,14,2,22,1.0,14,7.0,8,4.0,0,
285,GabeNabers,LAC,23,fb,16,5,2,7,1.0,2,1.0,5,2.5,0,
286,SenorisePerry,TEN,29,,7,0,2,9,1.0,2,1.0,7,3.5,0,
287,ScottiePhillips,HOU,23,,8,0,2,9,,5,2.5,4,2.0,0,
288,BrandonPowell,ATL,25,,15,1,2,7,0.0,6,3.0,1,0.5,0,
289,DariusSlayton,NYG,23,WR,16,15,2,-1,0.0,-3,-1.5,2,1.0,0,
290,GenoSmith,SEA,30,,1,0,2,-2,0.0,-2,-1.0,0,0.0,0,
291,JonnuSmith,TEN,25,TE,15,14,2,4,1.0,4,2.0,0,0.0,0,
