,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
68,DukeJohnson,HOU,27,rb,11,5,77,235,1,11,23,3.1,21.4,3
69,SalvonAhmed,MIA,22,rb,6,4,75,319,3,18,31,4.3,53.2,0
70,MarkIngram,BAL,31,rb,11,9,72,299,2,14,30,4.2,27.2,0
71,RexBurkhead,NWE,30,,10,0,67,274,3,18,18,4.1,27.4,0
72,DanielJones,NYG,23,QB,14,14,65,423,1,15,80,6.5,30.2,11
73,CordarrellePatterson,CHI,29,wr,16,3,64,232,1,12,13,3.6,14.5,0
74,LaMicalPerine,NYJ,22,,10,0,64,232,2,18,20,3.6,23.2,0
75,JalenHurts,PHI,22,qb,15,4,63,354,3,25,24,5.6,23.6,9
76,SamajePerine,CIN,25,rb,16,1,63,301,3,16,46,4.8,18.8,0
77,ItoSmith,ATL,25,,14,0,63,268,1,8,24,4.3,19.1,1
78,PatrickMahomes,KAN,25,QB,15,15,62,308,2,22,24,5.0,20.5,5
79,MattBreida,MIA,25,rb,12,1,59,254,0,11,24,4.3,21.2,2
80,JustinJackson,LAC,24,rb,9,4,59,270,0,15,36,4.6,30.0,0
81,ChristianMcCaffrey,CAR,24,rb,3,3,59,225,5,14,15,3.8,75.0,0
82,JustinHerbert,LAC,22,QB,15,15,55,234,5,20,31,4.3,15.6,8
83,AlfredMorris,NYG,32,,9,0,55,238,1,13,20,4.3,26.4,0
84,DevontaFreeman,NYG,28,,5,4,54,172,1,7,14,3.2,34.4,0
85,TyJohnson,2TM,23,,13,1,54,254,1,11,34,4.7,19.5,0
86,BakerMayfield,CLE,25,QB,16,16,54,165,1,18,28,3.1,10.3,8
87,TeddyBridgewater,CAR,28,QB,15,15,53,279,5,18,18,5.3,18.6,6
88,KerryonJohnson,DET,23,rb,16,2,52,181,2,9,14,3.5,11.3,1
89,CarsonWentz,PHI,28,QB,12,12,52,276,5,25,40,5.3,23.0,10
90,JaredGoff,LAR,26,QB,15,15,51,99,4,12,10,1.9,6.6,7
91,JeremyMcNichols,TEN,25,,16,0,47,204,1,8,20,4.3,12.8,0
92,AJDillon,GNB,22,,11,0,46,242,2,11,30,5.3,22.0,0
93,DrewLock,DEN,24,QB,13,13,44,160,3,13,16,3.6,12.3,8
94,RyanTannehill,TEN,32,QB,16,16,43,266,7,22,45,6.2,16.6,6
95,CurtisSamuel,CAR,24,wr,15,5,41,200,2,10,45,4.9,13.3,1
96,RodneySmith,CAR,24,rb,7,1,41,156,1,14,13,3.8,22.3,1
97,DerekCarr,LVR,29,QB,16,16,39,140,3,16,18,3.6,8.8,11
98,JamycalHasty,SFO,24,,8,0,39,148,1,7,20,3.8,18.5,1
99,DarrelWilliams,KAN,25,,16,0,39,169,1,14,13,4.3,10.6,0
100,AaronRodgers,GNB,37,QB,16,16,38,149,3,15,14,3.9,9.3,4
101,JoeBurrow,CIN,24,qb,10,10,37,142,3,14,23,3.8,14.2,9
102,SamDarnold,NYJ,23,QB,12,12,37,217,2,13,46,5.9,18.1,4
