,Player,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
106,DontrellHilliard,Multi,0,0,0,15,0,7,0,0,0,0,0,0,0,0,0,0,0,22,3.1
107,JohnnyStanton,CLE,0,0,0,0,0,0,0,0,bye,0,12,0,0,0,0,0,0,12,12.0
108,DamienHarris,NE,0,0,0,0,bye,12,21,20,28,32,26,34,33,22,0,0,0,228,25.3
109,DavidMontgomery,CHI,29,35,46,53,51,56,0,59,50,0,bye,58,52,40,56,60,62,707,50.5
110,JusticeHill,BAL,0,0,0,0,0,0,bye,2,3,5,7,26,6,6,6,3,9,73,6.1
111,JoshJacobs,LV,49,53,35,52,45,bye,32,48,29,43,44,38,0,29,52,32,38,619,41.3
112,DevinSingletary,BUF,51,34,55,54,46,40,40,28,31,34,bye,25,62,30,39,35,18,622,38.9
113,MilesSanders,PHI,0,55,71,48,50,29,0,0,bye,48,41,43,35,56,69,57,0,602,50.2
114,PatrickLaird,MIA,4,3,1,1,10,6,bye,0,12,10,17,10,19,42,8,0,2,145,9.1
115,TyJohnson,Multi,0,5,0,0,0,4,0,6,2,0,14,10,39,20,22,18,34,174,13.4
116,DexterWilliams,GB,0,0,0,0,bye,0,0,0,4,0,0,0,0,0,0,3,0,7,2.3
117,QadreeOllison,ATL,0,0,1,0,0,0,0,8,5,bye,0,0,0,0,0,0,0,14,4.7
118,AlecIngold,LV,17,16,9,8,22,bye,13,26,6,12,20,11,13,12,20,19,9,233,14.6
119,DarrellHenderson,LAR,5,29,34,22,29,32,0,18,bye,23,33,20,17,7,7,31,0,307,21.9
120,TrayveonWilliams,CIN,0,0,0,0,0,0,0,0,bye,5,0,5,0,27,7,6,9,59,5.9
121,BennySnell,PIT,29,10,15,bye,15,14,6,0,5,4,10,51,33,5,51,22,11,281,17.6
122,TravisHomer,SEA,13,8,16,17,23,bye,16,7,31,7,0,0,0,0,0,0,0,138,15.3
123,DarwinThompson,KC,0,15,6,0,0,3,0,7,0,bye,0,0,0,0,0,0,49,80,6.2
124,AlexanderMattison,MIN,19,10,16,15,43,27,bye,5,16,5,5,12,0,0,6,0,50,229,17.6
125,DevineOzigbo,JAC,0,0,0,0,0,0,0,bye,0,0,4,2,0,6,3,11,1,27,3.4
126,JakobJohnson,NE,21,17,18,0,bye,11,21,16,45,37,19,34,28,24,21,19,19,350,23.3
127,ChandlerCox,MIA,12,15,16,9,23,12,bye,0,9,0,0,0,12,0,0,0,0,108,13.5
128,CullenGillaspia,HOU,0,0,1,0,1,0,0,bye,4,1,0,0,0,0,0,0,0,7,1.0
129,TonyPollard,DAL,10,8,6,23,15,32,19,17,23,bye,21,21,31,19,52,33,34,364,22.8
130,KhariBlasingame,TEN,10,12,19,bye,0,10,8,11,11,14,15,16,6,8,13,5,7,165,11.0
131,JeremyCox,DEN,0,0,0,0,bye,0,8,6,0,4,1,0,0,0,0,0,0,19,2.7
132,AustinWalter,SF,0,0,0,0,0,0,0,0,0,12,bye,0,0,0,0,0,0,12,3.0
133,TonyBrooks-James,ATL,0,0,0,0,0,0,0,0,0,bye,0,6,0,0,0,0,0,6,6.0
134,CraigReynolds,JAC,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,3,0,3,1.5
135,DErnestJohnson,CLE,4,2,0,17,22,17,2,6,bye,0,1,3,2,0,5,0,0,81,5.1
136,DAndreSwift,DET,34,20,6,23,bye,17,28,38,30,43,0,0,0,36,42,36,33,386,29.7
137,JonathanTaylor,IND,27,49,24,33,31,37,bye,26,21,17,46,0,33,34,38,40,55,511,34.1
138,JKDobbins,BAL,24,20,24,21,18,30,bye,54,36,29,41,0,21,37,35,35,32,457,30.5
139,ZackMoss,BUF,39,28,0,0,0,13,34,31,38,39,bye,37,11,44,34,36,18,402,30.9
140,CamAkers,LAR,24,3,0,0,13,1,0,20,bye,18,12,17,52,50,36,0,48,294,24.5
141,ClydeEdwards-Helaire,KC,46,48,52,0,43,49,27,33,25,bye,40,47,0,46,45,0,0,501,41.8
142,LaMicalPerine,NYJ,0,9,21,10,0,41,40,28,21,bye,11,0,0,0,0,19,0,200,20.0
143,LeVanteBellamy,DEN,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,8,1,9,1.8
144,KeShawnVaughn,TB,0,0,0,19,18,10,0,0,0,0,0,0,bye,4,10,35,3,99,9.9
145,AJDillon,GB,5,7,0,3,bye,10,14,10,0,0,0,0,0,0,5,38,5,97,8.8
146,AnthonyMcFarland,PIT,0,0,10,bye,5,10,5,1,8,0,5,14,11,0,7,0,13,89,8.1
147,DarryntonEvans,TEN,0,0,8,bye,5,0,0,0,0,0,0,0,0,0,13,6,1,33,6.6
148,JJTaylor,NE,9,1,15,0,bye,0,0,0,0,0,0,0,0,0,5,16,4,50,8.3
149,JoshuaKelley,LAC,18,43,23,30,25,bye,38,21,43,17,11,19,3,0,5,0,1,297,21.2
150,SalvonAhmed,MIA,0,0,0,0,0,0,bye,0,28,44,43,0,0,0,44,15,31,205,34.2
151,RodneySmith,CAR,0,0,0,0,0,0,0,0,0,9,9,15,bye,16,24,21,39,133,19.0
152,TonyJones,NO,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,5,5,5.0
153,AdrianKillins,PHI,0,0,0,8,0,0,0,0,bye,0,0,0,0,0,0,0,0,8,8.0
154,DeeJayDallas,SEA,0,0,0,11,0,bye,13,54,20,22,7,0,12,8,0,0,0,147,12.3
155,ArtavisPierce,CHI,0,0,0,0,0,0,0,0,1,6,bye,0,0,0,0,5,1,13,2.6
156,ScottiePhillips,HOU,0,0,0,0,0,0,0,bye,0,0,0,4,0,1,4,0,0,9,1.1
157,AntonioGibson,WAS,18,43,25,31,30,27,33,bye,25,33,33,45,4,0,0,21,37,405,28.9
158,JaMycalHasty,SF,0,0,6,0,2,15,15,29,15,15,bye,0,0,0,0,0,0,97,12.1
159,JamesRobinson,JAC,35,38,30,52,43,19,57,bye,50,53,41,63,60,40,36,0,0,617,44.1
160,RicoDowdle,DAL,0,0,0,1,0,3,0,0,0,bye,0,0,0,0,8,1,1,14,0.9
161,JasonHuntley,PHI,1,0,0,0,0,0,8,2,bye,0,0,0,0,0,0,0,20,31,6.2
162,AntonioWilliams,BUF,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,28,28,28.0
163,ReggieGilliam,BUF,3,3,1,3,4,3,13,9,14,1,bye,6,7,4,10,0,0,81,5.8
164,JonathanWard,ARI,0,0,0,0,3,0,0,bye,0,0,0,0,0,0,0,0,1,4,0.3
165,NathanCottrell,JAC,2,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,2,0.3
166,GabeNabers,LAC,6,8,3,7,13,bye,14,3,1,10,7,7,3,12,11,2,22,129,8.1
167,GregOlsen,SEA,41,45,48,35,45,bye,52,37,26,48,40,0,0,0,0,12,0,429,39.0
168,JaredCook,NO,44,39,21,0,41,bye,34,40,26,21,25,19,28,36,32,40,20,466,31.1
169,JasonWitten,LV,29,26,15,20,38,bye,21,38,21,37,33,17,16,20,37,22,16,406,25.4
170,MarcedesLewis,GB,32,33,20,0,bye,21,30,20,32,26,19,33,35,38,30,31,21,421,28.1
171,JimmyGraham,CHI,53,40,55,41,48,45,0,44,50,29,bye,24,34,29,34,33,30,589,39.3
172,RobGronkowski,TB,54,42,63,65,57,54,55,50,27,65,54,43,bye,39,62,33,45,808,50.5
173,KyleRudolph,MIN,32,38,48,48,64,38,bye,39,42,58,46,57,64,0,0,0,0,574,47.8
174,LukeStocker,ATL,26,29,32,33,23,31,34,34,37,bye,16,34,24,33,32,40,44,502,31.4
175,LeeSmith,BUF,0,0,1,0,0,2,0,8,0,12,bye,17,25,29,30,24,23,171,17.1
176,VirgilGreen,LAC,24,35,12,25,25,bye,20,0,0,0,0,0,0,0,0,0,0,141,23.5
177,BruceMiller,JAC,12,14,2,5,9,4,10,bye,0,0,0,0,0,0,0,6,0,62,7.8
178,DerekCarrier,LV,0,0,1,0,0,bye,0,1,0,0,1,1,0,0,2,0,1,7,0.4
179,TravisKelce,KC,61,74,61,0,65,65,40,50,57,bye,69,68,57,56,78,56,0,857,61.2
180,ZachErtz,PHI,59,67,84,59,56,48,0,0,bye,0,0,0,27,50,63,62,61,636,57.8
181,JordanReed,SF,10,28,18,0,0,0,0,0,13,31,bye,31,31,33,42,10,0,247,24.7
182,TylerEifert,JAC,29,45,40,46,46,5,0,bye,38,40,24,39,51,45,37,28,36,549,36.6
183,LevineToilolo,NYG,24,11,4,11,16,9,9,21,25,21,bye,39,32,10,18,6,19,275,17.2
184,VanceMcDonald,PIT,38,36,41,bye,43,40,35,22,20,0,0,28,28,19,60,16,59,485,34.6
185,LukeWillson,Multi,1,0,0,6,0,0,0,3,0,0,11,37,27,0,0,0,0,85,10.6
186,RyanGriffin,NYJ,18,27,18,21,42,26,27,16,22,bye,27,30,42,22,27,0,26,391,26.1
187,DemetriusHarris,CHI,26,36,34,23,28,24,0,5,6,3,bye,1,6,3,1,0,1,197,14.1
188,JackDoyle,IND,57,0,32,45,34,39,bye,45,22,0,45,22,38,42,42,38,43,544,38.9
189,LoganThomas,WAS,53,60,55,66,47,63,54,bye,54,87,56,67,72,62,80,71,63,1010,63.1
190,EricEbron,PIT,40,50,60,bye,58,46,66,46,59,62,70,49,57,38,10,55,0,766,51.1
