,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,AirYards,Ctch%,Y/R,Lng,Y/Tgt,R/G,Y/G,Fmb,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
282,BlakeBell,DAL,29,te,16,2,15,11,110,0,7.0,62,5.6,48,4.4,5.1,1,11.0,0,0.0,0.0,93.7,76.5,73.3%,10.0,24.0,7.3,0.7,6.9,0.0,DAL,8.0,31.0,27.0,29,18,19,21,41,31,bye,14,18.0,18,15.0,22.0,30.0,16.0,358.0,22.4
287,OJHoward,TAM,26,te,4,1,19,11,146,2,8.0,129,11.7,17,1.5,11.9,1,11.0,1,5.3,0.0,117.4,226.1,57.9%,13.3,33.0,7.7,2.8,36.5,0.0,TB,37.0,34.0,33.0,28,0,0,0,0,0,0,0,0.0,bye,0.0,0.0,0.0,0.0,132.0,33.0
296,MarcedesLewis,GNB,36,TE,15,15,17,10,107,3,6.0,50,5.0,57,5.7,6.5,0,,4,23.5,0.0,116.9,110.5,58.8%,10.7,36.0,6.3,0.7,7.1,0.0,GB,32.0,33.0,20.0,0,bye,21,30,20,32,26,19,33.0,35,38.0,30.0,31.0,21.0,421.0,28.1
298,DonaldParham,LAC,23,te,13,5,20,10,159,3,8.0,103,10.3,56,5.6,8.8,0,,0,0.0,0.0,116.5,176.0,50.0%,15.9,26.0,8.0,0.8,12.2,0.0,LAC,0.0,0.0,0.0,1,7,bye,18,10,9,14,9,12.0,19,14.0,24.0,46.0,38.0,221.0,17.0
303,RyanGriffin,NYJ,30,te,15,6,12,9,86,0,4.0,37,4.1,49,5.4,5.3,0,,1,8.3,0.0,94.4,63.6,75.0%,9.6,23.0,7.2,0.6,5.7,0.0,NYJ,18.0,27.0,18.0,21,42,26,27,16,22,bye,27,30.0,42,22.0,27.0,0.0,26.0,391.0,26.1
313,StephenAnderson,LAC,27,te,16,3,11,8,106,0,7.0,26,3.3,80,10.0,4.0,2,4.0,0,0.0,0.0,102.8,44.0,72.7%,13.3,23.0,9.6,0.5,6.6,0.0,LAC,11.0,4.0,5.0,3,0,bye,8,1,3,2,6,6.0,15,3.0,4.0,25.0,43.0,139.0,8.7
314,DarrellDaniels,ARI,26,te,12,8,11,8,92,1,4.0,35,4.4,57,7.1,6.1,1,8.0,1,9.1,0.0,127.8,67.1,72.7%,11.5,31.0,8.4,0.7,7.7,0.0,ARI,14.0,43.0,38.0,27,50,44,41,bye,29,14,0,0.0,0,0.0,23.0,30.0,11.0,364.0,30.3
317,JoshHill,NOR,30,te,14,7,10,8,46,1,4.0,9,1.1,37,4.6,4.5,1,8.0,0,0.0,0.0,119.2,45.0,80.0%,5.8,16.0,4.6,0.6,3.3,1.0,NO,36.0,22.0,20.0,40,28,bye,30,22,45,9,0,39.0,42,18.0,7.0,1.0,0.0,359.0,25.6
322,CJUzomah,CIN,27,te,2,2,11,8,87,1,6.0,57,7.1,30,3.8,8.5,0,,1,9.1,0.0,125.9,93.5,72.7%,10.9,23.0,7.9,4.0,43.5,0.0,CIN,49.0,47.0,0.0,0,0,0,0,0,bye,0,0,0.0,0,0.0,0.0,0.0,0.0,96.0,48.0
323,MaxxWilliams,ARI,26,te,9,8,10,8,102,1,4.0,36,4.5,66,8.3,3.8,1,8.0,0,0.0,1.0,102.9,38.0,80.0%,12.8,42.0,10.2,0.9,11.3,0.0,ARI,43.0,0.0,0.0,0,0,0,0,bye,34,39,38,53.0,18,51.0,23.0,0.0,27.0,326.0,36.2
