,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,AirYards,Ctch%,Y/R,Lng,Y/Tgt,R/G,Y/G,Fmb,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
81,NelsonAgholor,LVR,27,WR,16,13,82,48,896,8,37.0,666,13.9,230,4.8,15.5,3,16.0,5,6.1,3.0,113.7,1271.0,58.5%,18.7,85.0,10.9,3.0,56.0,0.0,LV,12.0,15.0,50.0,68,55,bye,51,56,43,43,44,42.0,52,45.0,64.0,49.0,44.0,733.0,45.8
82,ChristianKirk,ARI,24,wr,14,10,79,48,621,6,30.0,446,9.3,175,3.6,11.8,1,48.0,2,2.5,3.0,95.0,932.2,60.8%,12.9,80.0,7.9,3.4,44.4,1.0,ARI,63.0,47.0,0.0,36,44,50,65,bye,44,54,61,64.0,60,66.0,58.0,68.0,0.0,780.0,55.7
84,MikeWilliams,LAC,26,WR,15,11,85,48,756,5,35.0,594,12.4,162,3.4,14.5,0,,3,3.5,2.0,96.0,1232.5,56.5%,15.8,64.0,8.9,3.2,50.4,0.0,LAC,58.0,74.0,40.0,0,55,bye,61,76,73,48,68,67.0,59,2.0,28.0,48.0,42.0,799.0,53.3
86,DamiereByrd,NWE,27,WR,16,14,77,47,604,1,29.0,432,9.2,172,3.7,11.5,3,15.7,4,5.2,3.0,73.7,885.5,61.0%,12.9,42.0,7.8,2.9,37.8,3.0,NE,56.0,62.0,66.0,0,bye,55,48,65,80,42,62,45.0,52,52.0,53.0,50.0,40.0,828.0,55.2
87,AJGreen,CIN,32,WR,16,14,104,47,523,2,34.0,437,9.3,86,1.8,13.7,2,23.5,3,2.9,3.0,55.1,1424.8,45.2%,11.1,33.0,5.0,2.9,32.7,0.0,CIN,45.0,57.0,55.0,53,28,58,64,62,bye,54,54,40.0,45,63.0,51.0,56.0,34.0,819.0,51.2
89,DannyAmendola,DET,35,wr,14,5,69,46,602,0,30.0,312,6.8,290,6.3,8.1,5,9.2,2,2.9,2.0,81.9,558.9,66.7%,13.1,50.0,8.7,3.3,43.0,0.0,DET,44.0,33.0,29.0,34,bye,20,33,41,48,23,0,0.0,33,34.0,27.0,31.0,24.0,454.0,32.4
93,AntonioBrown,TAM,32,wr,8,4,62,45,483,4,27.0,232,5.2,251,5.6,8.9,3,15.0,0,0.0,1.0,109.8,551.8,72.6%,10.7,46.0,7.8,5.6,60.4,0.0,TB,0.0,0.0,0.0,0,0,0,0,0,39,39,43,43.0,bye,25.0,32.0,46.0,56.0,323.0,40.4
95,DemarcusRobinson,KAN,26,wr,16,9,59,45,466,3,26.0,293,6.5,173,3.8,8.9,1,45.0,1,1.7,1.0,108.4,525.1,76.3%,10.4,28.0,7.9,2.8,29.1,2.0,KC,33.0,48.0,41.0,0,50,69,34,36,50,bye,63,57.0,37,33.0,50.0,41.0,47.0,689.0,45.9
98,ZachPascal,IND,26,WR,16,14,71,44,629,5,29.0,396,9.0,233,5.3,10.9,1,44.0,3,4.2,2.0,102.4,773.9,62.0%,14.3,42.0,8.9,2.8,39.3,0.0,IND,46.0,59.0,55.0,54,51,58,bye,58,41,47,51,53.0,55,41.0,47.0,61.0,56.0,833.0,52.1
101,MecoleHardman,KAN,22,wr,16,8,62,41,560,4,23.0,275,6.7,285,7.0,10.6,2,20.5,8,12.9,0.0,116.3,657.2,66.1%,13.7,49.0,9.0,2.6,35.0,2.0,KC,20.0,50.0,29.0,0,51,29,22,45,42,bye,17,24.0,21,19.0,32.0,41.0,32.0,474.0,31.6
