,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp
85,GoldenTate,NYG,32,,12,4,1,2,18,-9,-4.5,-5,-5.0,-2.5,23,23.0
86,CedrickWilson,DAL,25,,16,0,2,2,23,2,1.0,2,1.0,1.0,21,10.5
87,JamalAgnew,DET,25,wr,14,2,0,1,0,15,15.0,0,,0.0,0,
88,KeenanAllen,LAC,28,WR,14,13,0,1,0,15,15.0,0,,0.0,0,
89,ColeBeasley,BUF,31,wr,15,10,1,1,20,20,20.0,20,20.0,20.0,0,0.0
90,OdellBeckham,CLE,28,wr,7,7,1,1,18,17,17.0,17,17.0,17.0,1,1.0
91,JosephCharlton,CAR,23,p,16,0,1,1,28,18,18.0,18,18.0,18.0,10,10.0
92,RandallCobb,HOU,30,wr,10,2,0,1,0,7,7.0,0,,0.0,0,
93,JamisonCrowder,NYJ,27,wr,12,7,1,1,43,27,27.0,27,27.0,27.0,16,16.0
94,RileyDixon,NYG,27,p,16,0,0,1,0,8,8.0,0,,0.0,0,
95,AlexErickson,CIN,28,wr,16,2,0,1,0,21,21.0,0,,0.0,0,
96,JaquanJohnson,BUF,25,,14,0,1,1,13,10,10.0,10,10.0,10.0,3,3.0
97,ChrisJones,DAL,31,,8,0,0,1,0,9,9.0,0,,0.0,0,
98,ZayJones,LVR,25,wr,16,2,1,1,29,26,26.0,26,26.0,26.0,3,3.0
99,BrettKern,TEN,34,p,13,0,0,1,0,18,18.0,0,,0.0,0,
100,SamKoch,BAL,38,p,15,0,1,1,15,9,9.0,9,9.0,9.0,6,6.0
101,AndyLee,ARI,38,p,16,0,1,1,26,14,14.0,14,14.0,14.0,12,12.0
102,AJMcCarron,HOU,30,,2,0,1,1,20,18,18.0,18,18.0,18.0,2,2.0
103,IsaiahMcKenzie,BUF,25,wr,16,7,1,1,12,-5,-5.0,-5,-5.0,-5.0,17,17.0
104,DJMoore,CAR,23,WR,15,14,0,1,0,6,6.0,0,,0.0,0,
105,ZachPascal,IND,26,WR,16,14,0,1,0,13,13.0,0,,0.0,0,
106,EastonStick,LAC,25,,1,0,1,1,4,0,0.0,0,0.0,0.0,4,4.0
107,LoganThomas,WAS,29,TE,16,15,1,1,28,28,28.0,28,28.0,28.0,0,0.0
108,TommyTownsend,KAN,24,p,16,0,1,1,13,6,6.0,6,6.0,6.0,7,7.0
109,GregWard,PHI,25,wr,16,10,1,1,15,15,15.0,15,15.0,15.0,0,0.0
110,SammyWatkins,KAN,27,wr,10,9,0,1,0,24,24.0,0,,0.0,0,
111,IsaiahWright,WAS,23,wr,14,6,0,1,0,-3,-3.0,0,,0.0,0,
